,nl,code
2172,"call the get_deserializer function with an argument format, substitute the result for d.",d = get_deserializer ( format )
2173,"created with an argument constant_arg, append it to args. otherwise if var_arg is true,",elif var_arg :
2174,_wrapped is None.,_wrapped = None
2175,"property decorator,",@ property
2176,"call the method os.environ.get with 2 arguments: strings 'PATHEXT' and '.COM;.EXE;.BAT;.CMD', split the result at os.pathsep, substitute it for pathext.","pathext = os . environ . get ( 'PATHEXT' , '.COM;.EXE;.BAT;.CMD' ) . split ( os . pathsep )"
2177,"define the method get with 4 arguments, self, key, default set to None and version set to None.","def get ( self , key , default = None , version = None ) :"
2178,"get the value under the 'symlinks' key of the options dictionary, substitute it for self.symlinks.",self . symlinks = options . get ( 'symlinks' )
2179,"call the method self.filter_expression.resolve with an argument context, substitute the result for output.",output = self . filter_expression . resolve ( context )
2180,self.stdout.ending is None.,self . stdout . ending = None
2181,"if not,",else :
2182,"and unpacked dictionary kwargs. call the function force_text with an argument self.value, substitute the result for self.value.",self . value = force_text ( self . value )
2183,derive the class TypedMultipleChoiceField from the base class MultipleChoiceField class.,class TypedMultipleChoiceField ( MultipleChoiceField ) :
2184,"slice migration.ancestry list from the last result as an starting index to the end, substitute the slice for migration.branch. migration.merged_operations is an empty list.",migration . merged_operations = [ ]
2185,from collections import OrderedDict into default name space.,from collections import OrderedDict
2186,"if ValueError or TypeError exceptions are caught,","except ( ValueError , TypeError ) :"
2187,substitute MultipleHiddenInput for hidden_widget.,hidden_widget = MultipleHiddenInput
2188,"get the id of the self object, use it as a key to obtain the value from the memo dictionary, substitute self with it.",memo [ id ( self ) ] = self
2189,return value.,return value
2190,"if PY3 is true,",if PY3 :
2191,"call the method token.split_contents, substitute the result for bits.",bits = token . split_contents ( )
2192,"where '%s' is replaced with fixture_name, and RuntimeWarning. decorator method lru_cache.lru_cache with an argument maxsize set to None.",@ lru_cache . lru_cache ( maxsize = None )
2193,"evaluate the boolean expression, if first three characters of sample equals to string of bytes '\xef\xbb\xbf\',",return sample [ : 3 ] == b'\xef\xbb\xbf' or sample . startswith ( codecs . BOM_UTF16_LE ) or sample . startswith ( codecs . BOM_UTF16_BE )
2194,"return an instance of FilterExpression class, created with 2 arguments: token and self.","return FilterExpression ( token , self )"
2195,derive the class Iterator from the base class object.,class Iterator ( object ) :
2196,substitute self._wrapped for repr_attr.,repr_attr = self . _wrapped
2197,"call the connection.creation.sql_indexes_for_model with model and no_style() as arguments, substitute the result for index_squl.","index_sql = connection . creation . sql_indexes_for_model ( model , no_style ( ) )"
2198,from django.utils.formats import localize into default name space.,from django . utils . formats import localize
2199,"for every app_config in return value of the method apps.get_app_configs if app_config.models_module is not None,","all_models = [ ( app_config . label , router . get_migratable_models ( app_config , connection . alias , include_auto_created = True ) ) for app_config in apps . get_app_configs ( ) if app_config . models_module is not None and app_config . label in app_labels ]"
2200,"if not,",else :
2201,"if return values of the function force_text called two times with 1 argument, with value, and with orig, are equal,",if force_text ( value ) != force_text ( orig ) :
2202,substitute pos for end_text_pos.,end_text_pos = pos
2203,"call the function file_move_safe with tmp_path, fname, allow_overwrite set to boolean True as arguments.","file_move_safe ( tmp_path , fname , allow_overwrite = True )"
2204,"call the method self.render_option with 2 arguments: selected_choices and unpacked list option, append the result to output.","output . append ( self . render_option ( selected_choices , * option ) )"
2205,"field_notes, respectively. add field_params to extra_params dictionary.",extra_params . update ( field_params )
2206,call the method self._cache.clear.,self . _cache . clear ( )
2207,"call the method self._lock, with the result,",with self . _lock :
2208,import module sys.,import sys
2209,call the method self.inner_run with 2 arguments: None and unpacked dictionary options.,"self . inner_run ( None , ** options )"
2210,"if text ends with truncate,",if text . endswith ( truncate ) :
2211,append list containing string '--no-location' to self.msgattrib_options.,self . msgattrib_options = self . msgattrib_options [ : ] + [ '--no-location' ]
2212,decorator function register.filter with an argument is_safe set to boolean True.,@ register . filter ( is_safe = True )
2213,"call the method self._truncate_html with 5 arguments: length, truncate, self._wrapped, length and boolean True, return the result.","return self . _truncate_html ( length , truncate , self . _wrapped , length , True )"
2214,"if not,",else :
2215,from PIL module import ImageFile as PillowImageFile.,from PIL import ImageFile as PillowImageFile
2216,"dest as a string 'ignore_patterns', default as an empty list, metavar as a string 'PATTERN', and help as a string 'Ignore files or directories matching this glob-style pattern. Use multiple times to ignore more.'. call the method parser.add_argument with 5 arguments: string '--no-default-ignore', action as a string 'store_false',","parser . add_argument ( '--no-default-ignore' , action = 'store_false' , dest = 'use_default_ignore_patterns' , default = True , help = ""Don't ignore the common glob-style patterns 'CVS', '.*', '*~' and '*.pyc'."" )"
2217,substitute self.none_value for self.day_none_value.,self . day_none_value = self . none_value
2218,from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
2219,define the method _iterkeys with an argument self.,def _iterkeys ( self ) :
2220,"call the method domain.encode with an argument string 'idna', call the method decode on the result with an argument string 'ascii',",domain = domain . encode ( 'idna' ) . decode ( 'ascii' )
2221,substitute the result for filter_re. derive the class FilterExpression form the base class object.,class FilterExpression ( object ) :
2222,"if StopIteration exception,",except StopIteration :
2223,"define the function sql_all with 3 arguments: app_config, style and connection.","def sql_all ( app_config , style , connection ) :"
2224,self.test_runner is None.,self . test_runner = None
2225,"get the attribute 'extend' of the cls object, if it exists substitute it for extend, if not extend is boolean True.","extend = getattr ( definition , 'extend' , True )"
2226,"define the function pbkdf2 with 5 arguments: password, salt, iterations, dklen set to integer 0 and digest set to None.","def pbkdf2 ( password , salt , iterations , dklen = 0 , digest = None ) :"
2227,substitute the result for value under 'address' key of config dictionary. substitute klass for factory.,factory = klass
2228,"if widget is an instance of type class,","if isinstance ( widget , type ) :"
2229,"if errors is None,",if errors is None :
2230,"call the method self.nodelist_empty.render with an argument context, return the result.",return self . nodelist_empty . render ( context )
2231,substitute connections element at the index of the value db for connections.,connection = connections [ db ]
2232,"if id_ is true,",if id_ :
2233,define the function close_caches with dictionary pair of elements kwargs as argument.,def close_caches ( ** kwargs ) :
2234,append '0' to digits.,digits . append ( '0' )
2235,"join self.dirpath and self.file into a file path, return it.","return os . path . join ( self . dirpath , self . file )"
2236,"if TypeError, ValueError or UnicodeDecodeError exceptions are caught,","except ( TypeError , ValueError , UnicodeDecodeError ) :"
2237,from django.utils._os import upath into default name space.,from django . utils . _os import upath
2238,"call the function force_text with an argument text, substitute the result for text.",text = force_text ( text )
2239,return result.,return result
2240,"call the function isabs with an argument path, if it evaluates to false,",if not isabs ( path ) :
2241,"try,",try :
2242,"call the run_from_argv function from the base class of the Command class with argv as a argument,.","super ( Command , self ) . run_from_argv ( argv )"
2243,"otherwise ser_fmts is a list containing ser_fmt. if self.verbosity is greater or equal to integer 2,",if self . verbosity >= 2 :
2244,from django.utils.six.moves.urllib.parse import urlsplit and urlunsplit into default name space.,"from django . utils . six . moves . urllib . parse import urlsplit , urlunsplit"
2245,"define the method process with 3 arguments: self, command and domain.","def process ( self , command , domain ) :"
2246,"call the function load_command_class with arguments app_name and subcommand, substitute the result for klass.","klass = load_command_class ( app_name , subcommand )"
2247,"call the MigrationAutodetector function with arguments, return value of the call to the method executor.loader.project_state,","autodetector = MigrationAutodetector ( executor . loader . project_state ( ) , ProjectState . from_apps ( apps ) , )"
2248,derive the class BaseMemcachedCacheMethods from RenameMethodsBase the base class.,class BaseMemcachedCacheMethods ( RenameMethodsBase ) :
2249,from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
2250,raise an self.exception exception.,raise self . exception
2251,from importlib import import_module into default name space.,from importlib import import_module
2252,substitute widgets for value under the 'widgets' key of attrs dictionary.,attrs [ 'widgets' ] = widgets
2253,append form.errors to self._errors.,self . _errors . append ( form . errors )
2254,"filesize_number_format with result of division of bytes by KB as an argument, substitute the result for value. otherwise if bytes is smaller than GB,",elif bytes < GB :
2255,"if fname is contained in self._list_cache_files method return value,",for fname in self . _list_cache_files ( ) :
2256,"if dklen is false,",if not dklen :
2257,"if self.is_localized is true,",if self . is_localized :
2258,"substitute target and expression for self.target and self.expression, respectively.","self . target , self . expression = target , expression"
2259,where '%s' is replace by regex and return value of the function six.text_type with an argument e. substitute the compiled_regex for value under the language_code key of the self._regex_dict dictionary.,self . _regex_dict [ language_code ] = compiled_regex
2260,"if not,",else :
2261,input_type is a string 'password'.,input_type = 'password'
2262,return self.new_objects.,return self . new_objects
2263,"if self._populated is false,",if not self . _populated :
2264,"call the method __init__ from the base class of the InMemoryUploadedFile base class, with 6 arguments: file, name, content_type,","super ( InMemoryUploadedFile , self ) . __init__ ( file , name , content_type , size , charset , content_type_extra )"
2265,skip this loop iteration.,continue
2266,"call the method apps.get_app_config with an argument app_lable, for every app_label in app_labels, append the results to app_configs list.",app_configs = [ apps . get_app_config ( app_label ) for app_label in app_labels ]
2267,"call the __init__ method of the base class of the class FilePathField, with arguments: choices set to an empty tuple,4","super ( FilePathField , self ) . __init__ ( choices = ( ) , required = required , widget = widget , label = label , initial = initial , help_text = help_text , * args , ** kwargs )"
2268,return.,return
2269,"use it as an argument for the call to the method self.style.MIGRATE_HEADING, write the result to self.stdout. for every migration in merge_migrations,",for migration in merge_migrations :
2270,from django.utils import six into default name space.,from django . utils import six
2271,define the function parts.,def parts ( ) :
2272,"define the method handle_label with 3 arguments: self, label and unpacked dictionary options.","def handle_label ( self , label , ** options ) :"
2273,define the method auto_id with an argument self.,def auto_id ( self ) :
2274,substitute reason for self.reason_phrase.,self . reason_phrase = reason
2275,"and value under the unique_for key of form.cleaned_data dictionary is not None, if lookup equals a string 'date',",if lookup == 'date' :
2276,define the method is_ajax with an argument self.,def is_ajax ( self ) :
2277,"call the nethod self._isdst with an argument dt, if it evaluates to true,",if self . _isdst ( dt ) :
2278,add obj.object.__class__ to self.models set.,self . models . add ( obj . object . __class__ )
2279,call the function exhaust with an argument stream.,exhaust ( stream )
2280,define the method __getitem__ with arguments self and name.,"def add_js ( self , data ) :"
2281,"if not,",else :
2282,"LockFileEx.argtypes is a list containing 6 elements: HANDLE, DWORD, DWORD, DWORD, DWORD and LPOVERLAPPED.","LockFileEx . argtypes = [ HANDLE , DWORD , DWORD , DWORD , DWORD , LPOVERLAPPED ]"
2283,"f _serializers is false,",if not _serializers :
2284,substitute new_args for result_args.,result_args = new_args
2285,return out.,return out
2286,"if value under the 'description' key of the item dictionary is not None,",if item [ 'description' ] is not None :
2287,"if not,",else :
2288,"call the function do_translate with 2 arguments: message and string 'gettext', return the result.","return do_translate ( message , 'gettext' )"
2289,"finally perform,",finally :
2290,"call the method parse_bits with 8 arguments: parser, bits, params, varargs, varkw, defaults, takes_context and name,","args , kwargs = parse_bits ( parser , bits , params , varargs , varkw , defaults , takes_context , name )"
2291,substitute offset for self.__offset.,self . __offset = offset
2292,return an empty list.,return [ ]
2293,"append '.' to name, substitute the result for prefixed.","prefixed = name + ""."""
2294,"for every item in self.items,",for item in self . items :
2295,"call the function time_format with 2 arguments: value and arg, return the result.","return time_format ( value , arg )"
2296,"if StandardError, renamed to e, exception is caught,",except StandardError as e :
2297,value under the field.attname key of the data dictionary is None.,data [ field . attname ] = None
2298,"raise an ValueError with an argument string ""'%s.%s' has more than one ForeignKey to '%s.%s'."", where '%s' is replaced with,","raise ValueError ( ""'%s.%s' has more than one ForeignKey to '%s.%s'."" % ( model . _meta . app_label , model . _meta . object_name , parent_model . _meta . app_label , parent_model . _meta . object_name ) )"
2299,"if expires is not None,",if expires is not None :
2300,raise an ValidationError with 2 arguments: value under the 'invalid_time' key of the self.error_messages dictionary and code set to string 'invalid_time'.,"raise ValidationError ( self . error_messages [ 'invalid_time' ] , code = 'invalid_time' )"
2301,substitute charset for self.charset.,self . charset = charset
2302,define the method _archive_cls with an argument file.,def _archive_cls ( file ) :
2303,"slice the rawdata from k to endpos, then take the first 20 elements of the previous slice,","self . error ( ""junk characters in start tag: %r"" % ( rawdata [ k : endpos ] [ : 20 ] , ) )"
2304,if file_name is an instance of Template class.,"if isinstance ( file_name , Template ) :"
2305,"call the function with 7 arguments: self, self.instance, self._meta.fields, fail_message, commit, self._meta.exclude,","return save_instance ( self , self . instance , self . _meta . fields , fail_message , commit , self . _meta . exclude , construct = False )"
2306,"if roots is false,",if not roots :
2307,"append the result to password. call the method password.translate with an argument hmac.trans_36, update inner dictionary with the result.",inner . update ( password . translate ( hmac . trans_36 ) )
2308,"call the function new_method_proxy with an argument operator.delitem, substitute the result for __delitem__.",__delitem__ = new_method_proxy ( operator . delitem )
2309,"try,",try :
2310,define the function dummy with 2 arguments: unpacked list args and unpacked dictionary kwargs.,"def dummy ( * args , ** kwargs ) :"
2311,derive the class CheckboxSelectMultiple from the RendererMixin and SelectMultiple base classes.,"class CheckboxSelectMultiple ( RendererMixin , SelectMultiple ) :"
2312,"call the method operator.attrgetter with an argument _meth_func, substitute the result for get_method_function.",get_method_function = operator . attrgetter ( _meth_func )
2313,if value has an '__iter__' attribute and value is not an instance of bytes or six.string_types class.,"if hasattr ( value , '__iter__' ) and not isinstance ( value , ( bytes , six . string_types ) ) :"
2314,"if second element of source is None,",if source [ 1 ] is None :
2315,"return a tuple containing 3 entries: output, result of the function force_text, called with 3 arguments: errors,","return ( output , force_text ( errors , DEFAULT_LOCALE_ENCODING , strings_only = True ) , p . returncode )"
2316,derive the class EmailBackend from the BaseEmailBackend base class.,class EmailBackend ( BaseEmailBackend ) :
2317,cookies is a string '<could not parse>'.,cookies = '<could not parse>'
2318,"join self.dirpath and self.file into a file path, substitute it for orig_file.","orig_file = os . path . join ( self . dirpath , self . file )"
2319,raise an exception.,raise
2320,"call the method self.get_available_name with argument name, substitute the result for name.",name = self . get_available_name ( name )
2321,"if choice_label is an instance of tuple or list,","if isinstance ( choice_label , ( tuple , list ) ) :"
2322,"if value is None,",if value is None :
2323,raise a ValidationError exception with arguments self.message and code set to self.code.,"raise ValidationError ( self . message , code = self . code )"
2324,substitute the last element of parts for ser_fmt.,ser_fmt = parts [ - 1 ]
2325,"otherwise if vale is not an instance of ConvertingTuple and value is an instance of tuple type,","elif not isinstance ( value , ConvertingTuple ) and isinstance ( value , tuple ) :"
2326,"define the function assertCountEqual with 3 arguments: self, unpacked list args and unpacked dictionary kwargs.","def assertCountEqual ( self , * args , ** kwargs ) :"
2327,define the method __getitem__ with 2 arguments: self and idx.,"def __getitem__ ( self , idx ) :"
2328,"skip this loop iteration,",continue
2329,substitute WSGIServer for httpd_cls.,httpd_cls = WSGIServer
2330,substitute empty bytes string for self.buffer.,self . buffer = b''
2331,"for every key is self.bad_cookies,",for key in self . bad_cookies :
2332,"call the method self._lib.Client with self._servers and pickleProtocol set to pickle.HIGHEST_PROTOCOL as arguments, substitute the result for self._client.","self . _client = self . _lib . Client ( self . _servers , pickleProtocol = pickle . HIGHEST_PROTOCOL )"
2333,derive class Command from base class BaseCommand.,class Command ( BaseCommand ) :
2334,"if filename ends with string ""$py.class"",","if filename . endswith ( ""$py.class"" ) :"
2335,"default_error_messages is an dictionary with an entry: return value of the function _ called with an argument string,","default_error_messages = { 'invalid_image' : _ ( ""Upload a valid image. The file you uploaded was either not an image or a corrupted image."" ) , }"
2336,raise an exception.,raise
2337,"for every j in range of integers from 0 to iterations converted to an integer,",for j in xrange ( int ( iterations ) ) :
2338,"if six.PY3 is true,",if six . PY3 :
2339,"compile regex from a string '\\(.)', substitute it for re_escaped.",re_escaped = re . compile ( r'\\(.)' )
2340,remove slots_var key from the orig_vars dictionary.,orig_vars . pop ( slots_var )
2341,return string '1'.,return '1'
2342,"if lengths of value and arg are equal, return boolean True, otherwise return boolean False.",return len ( value ) == int ( arg )
2343,"call the function _ with an argument string 'noon', return the result.",return _ ( 'noon' )
2344,"call the method timezone.normalize with an argument value, substitute the result for value.",value = timezone . normalize ( value )
2345,"if display_num_errors is true,",if display_num_errors :
2346,"as long as self.exists function with argument name evaluates to boolean True,",while self . exists ( name ) :
2347,substitute object_list for self.object_list.,self . object_list = object_list
2348,"mapping is a dictionary with 3 initial entries: 'a' for 'alpha', 'b' for 'beta' and 'c' for 'rc'.","mapping = { 'alpha' : 'a' , 'beta' : 'b' , 'rc' : 'c' }"
2349,write a new line to the self.stream file stream.,"self . stream . write ( ""\n"" )"
2350,"otherwise if value is an instance of datetime.date,","elif isinstance ( value , datetime . date ) :"
2351,"if e doesnt have an 'django_template_source' attribute,","if not hasattr ( e , 'django_template_source' ) :"
2352,"define lambda function with self class instance as the argument, lambda function body encapsulates the call to the method,",klass . __str__ = lambda self : self . __unicode__ ( ) . encode ( 'utf-8' )
2353,"define the function call_command with 3 arguments: name, unpacked list args and unpacked dictionary options.","def call_command ( name , * args , ** options ) :"
2354,all_date_checks is an empty set.,all_date_checks = set ( )
2355,"call the function self.path with argument name, use the result as an argument for the call to the function os.path.getatime,",return datetime . fromtimestamp ( os . path . getatime ( self . path ( name ) ) )
2356,set attrvalue to None.,attrvalue = None
2357,return printable representation of self.dicts.,return repr ( self . dicts )
2358,"substitute a tuple with 2 elements: template and None, for self.find_template_cache dictionary value under the key key.","self . template_cache [ key ] = ( template , None )"
2359,"self.max_digits and self.decimal_places, raise an ValidationError with 3 arguments: value under the 'max_whole_digits' key of the self.error_messages dictionary,","raise ValidationError ( self . error_messages [ 'max_whole_digits' ] , code = 'max_whole_digits' , params = { 'max' : ( self . max_digits - self . decimal_places ) } , )"
2360,return None.,return None
2361,"call the method __init__ from the base class of the class RegexField, with 4 arguments: max_length, min_length, unpacked list args,","super ( RegexField , self ) . __init__ ( max_length , min_length , * args , ** kwargs )"
2362,"if self.data.day equals integer 11, 12 or 13,","if self . data . day in ( 11 , 12 , 13 ) :"
2363,nofollow_attr is an empty string.,nofollow_attr = ''
2364,substitute the value under the command key of self.tags dictionary for compile_func.,compile_func = self . tags [ command ]
2365,"call the function timezone.make_naive with 2 arguments value, current_timezone, return the result.","return timezone . make_naive ( value , current_timezone )"
2366,"call the function datetime.fromtimestamp with argument timeout, substitute it for exp.",exp = datetime . fromtimestamp ( timeout )
2367,"try,",try :
2368,"define lambda function that returns self.file.readinto field, use it as an argument for property function, put the result in readinto.",readinto = property ( lambda self : self . file . readinto )
2369,define the method tokenize with an argument self.,def tokenize ( self ) :
2370,"explicitly is prohibited."" call the function modelform_factory with 10 arguments: model, form as form, fields as fields, exclude as exclude,","form = modelform_factory ( model , form = form , fields = fields , exclude = exclude , formfield_callback = formfield_callback , widgets = widgets , localized_fields = localized_fields , labels = labels , help_texts = help_texts , error_messages = error_messages )"
2371,"convert the value under the 'daemonize' key of options dictionary to lowercase, if it equals to string 'true', 'yes' or 't',","if options [ ""daemonize"" ] . lower ( ) in ( 'true' , 'yes' , 't' ) :"
2372,do nothing.,pass
2373,"if self.leave_locale_alone is false,",if not self . leave_locale_alone :
2374,call the method self.indent with argument integer 2.,self . indent ( 2 )
2375,"if os.name equals string 'posix',",if os . name == 'posix' :
2376,"instantiate class ModelFormOptions with argument: attribute 'Meta' of the new_class object. if it exists or None, if not,","opts = new_class . _meta = ModelFormOptions ( getattr ( new_class , 'Meta' , None ) )"
2377,from django.core.management.base import BaseCommand into default name space.,from django . core . management . base import BaseCommand
2378,"substitute the result for new_migration. writer is an instance of a class MigrationWriter, created with an argument new_migration.",writer = MigrationWriter ( new_migration )
2379,"call the function six.reraise with 3 arguments: class ValidationError, class ValidationError, created with 3 arguments:","six . reraise ( ValidationError , ValidationError ( message , code = 'ambiguous_timezone' , params = params , ) , sys . exc_info ( ) [ 2 ] )"
2380,"if value in self.empty_values,",if value in self . empty_values :
2381,"call the function op, return the result.",return op ( )
2382,substitute context.autoescape for old_setting.,old_setting = context . autoescape
2383,substitute the datetime.max for exp.,exp = datetime . max
2384,requires_system_checks is boolean False.,requires_system_checks = False
2385,define the method values with an argument self.,def values ( self ) :
2386,define the function new_date with an argument d.,def new_date ( d ) :
2387,call the function os.umask with an argument umask.,os . umask ( umask )
2388,__D2 is a raw string '(?P<day>[ \d]\d)'.,__D2 = r'(?P<day>[ \d]\d)'
2389,"otherwise if name is not None and compile_function is None,",elif name is not None and compile_function is None :
2390,raise an ValidationError with 2 arguments: value under the 'required' key of the self.error_messages dictionary and code set to 'required'.,"raise ValidationError ( self . error_messages [ 'required' ] , code = 'required' )"
2391,"call the function add_arguments with parser as an argument, from the base class of the Command class.","super ( Command , self ) . add_arguments ( parser )"
2392,"if exception ValueError or TypeError is caught,","except ( ValueError , TypeError ) :"
2393,"for every node_app and node_name in migration.branch,","for node_app , node_name in migration . branch :"
2394,"call the method now.replace with argument tzinfo set to None, substitute it for now.",now = now . replace ( tzinfo = None )
2395,"evaluate the http.QueryDict method with raw_query_string and encoding set to self._encoding as arguments, return the result.","return http . QueryDict ( raw_query_string , encoding = self . _encoding )"
2396,substitute self.form.required_css_class for the value under the 'class' key of the attrs dictionary.,attrs [ 'class' ] = self . form . required_css_class
2397,derive the class Serializer from the PythonSerializer base class.,class Serializer ( PythonSerializer ) :
2398,"if ValueError exception is caught,",except ValueError :
2399,call the method self._archive.close.,self . _archive . close ( )
2400,define the method add_arguments with an argument self and parser.,"def add_arguments ( self , parser ) :"
2401,"for every app_config in result of the method apps.get_app_configs, append the resulting list to templatetags_modules_candidates. for every templatetag_module in templatetags_modules_candidates,",for templatetag_module in templatetags_modules_candidates :
2402,"call the method self._cache.incr with key and delta as arguments, substitute the result for val.","val = self . _cache . incr ( key , delta )"
2403,"if file_name is false,",if not file_name :
2404,derive the class HTMLParser from the base class HTMLParser located in the module _html_parser.,class HTMLParser ( _html_parser . HTMLParser ) :
2405,"if DatabaseError or IntegrityError, renamed to e, exceptions are caught,","except ( DatabaseError , IntegrityError ) as e :"
2406,"if not,",else :
2407,define the method _start_relational_field with arguments self and field.,"def _start_relational_field ( self , field ) :"
2408,for every first_select in return value of the function _parse_date_fmt.,for first_select in _parse_date_fmt ( ) :
2409,"get the value under the name key of the self dictionary, yield it as the return value of the generator.",yield self [ name ]
2410,"for field in self if field.is_hidden is false, append field to a list, return the resulting list.",return [ field for field in self if not field . is_hidden ]
2411,define the function length with an argument value.,def length ( value ) :
2412,"open writer.path file in write mode, with the file descriptor as fh, perform the following,","with open ( writer . path , ""wb"" ) as fh :"
2413,define the method __repr__ with an argument self.,def __repr__ ( self ) :
2414,"if html is true,",if html :
2415,if message is not None,if message is not None :
2416,"and pending_references append sql to the string '-- ', put the results in a list, extend alter_sql with the result. if alter_sql,",if alter_sql :
2417,"targets is a list containing tuple with two elements, app_label and None.","targets = [ ( app_label , None ) ]"
2418,add model to models set.,models . add ( model )
2419,import module django.,import django
2420,"try,",try :
2421,"create a list out of basedir elements for which function os.path.isdir returns true, apply the os.path.abspath function on every element, and put the results in a list, basedir is set of previous list elements.","basedirs = set ( map ( os . path . abspath , filter ( os . path . isdir , basedirs ) ) )"
2422,"if response is None,",if response is None :
2423,"if length of bits is greater or equal to integer 4 and second last element of bits equals sting 'from',","if len ( bits ) >= 4 and bits [ - 2 ] == ""from"" :"
2424,"call the method parser.parse with an argument tuple with 2 elements strings: 'else' and 'endfilter', substitute the result for nodelistelse.","nodelist_true = parser . parse ( ( 'else' , 'endifchanged' ) )"
2425,"define the method strptime with arguments self, value and format.","def strptime ( self , value , format ) :"
2426,"define the method _text_words with 3 arguments: self, length and truncate.","def _text_words ( self , length , truncate ) :"
2427,"call the function getInnerText with an argument node, call the strip method on the result, substitute the result for field_value.",field_value = getInnerText ( node ) . strip ( )
2428,define the function date with 2 arguments value and arg set to None.,"def date ( value , arg = None ) :"
2429,"call the function six.iteritems with an argument: instance of base class of the MultiValueDict class, return the result.","return six . iteritems ( super ( MultiValueDict , self ) )"
2430,"choice and idx, return the result. define the method __str__ with an argument self.",def __str__ ( self ) :
2431,"if attachments exists substitute it for self.attachments, if not attachments is an empty list.",self . attachments = attachments or [ ]
2432,"use it as an argument for the call to the force_str function, return the result. define the method add_prefix with arguments self and prefix.","def add_prefix ( self , prefix ) :"
2433,"Template, TextNode, Token, TokenParser, Variable, VariableNode, constant_string and filter_raw_string. from django.template.base import compile_string, resolve_variable, unescape_string_literal and generic_tag_compiler.","from django . template . base import ( compile_string , resolve_variable , unescape_string_literal , generic_tag_compiler )"
2434,"try,",try :
2435,"decorator stringfilter,",@ stringfilter
2436,define the method __getitem__ with 2 arguments: self and key.,"def __getitem__ ( self , key ) :"
2437,"instantiate class ChunkIter with 2 arguments: self._input_data and self._chunk_size, use it to instantiate LazyStream class,","stream = LazyStream ( ChunkIter ( self . _input_data , self . _chunk_size ) )"
2438,"tr,",try :
2439,"call the method cgi.parse_header with an argument content_disposition, assign the result to _ and params, respectively.","_ , params = cgi . parse_header ( content_disposition )"
2440,"call the force_str function with an argument: salt, if it exists, if not with a string '%s.%s', with '%s' replaced by,","self . salt = force_str ( salt or '%s.%s' % ( self . __class__ . __module__ , self . __class__ . __name__ ) )"
2441,return first element of value.,return value [ 0 ]
2442,substitute member.name for name.,name = member . name
2443,"if TypeError exception is caught,",except TypeError :
2444,substitute tok.next for state.,state = tok . next
2445,call the function dateformat.time_format with 2 arguments: value and result of the function get_format called with 2 arguments:,"return dateformat . time_format ( value , get_format ( format or 'TIME_FORMAT' , use_l10n = use_l10n ) )"
2446,substitute the result for new_permission. call the function os.chmod wiht arguments filename and new_permissions.,"os . chmod ( filename , new_permissions )"
2447,common_prefix is None.,common_prefix = None
2448,"substitute the result for commands_dict. for every name and app in return value of the function six.iteritems calle with return argument of function get_commands as an arugment,","for name , app in six . iteritems ( get_commands ( ) ) :"
2449,raise self.warning.,raise self . warning
2450,"call the unsign method from the base class of the TimestampSigner class with an argument value, substitute the result for result.","result = super ( TimestampSigner , self ) . unsign ( value )"
2451,from django.template.debug import DebugLexer and DebugParser.,"from django . template . debug import DebugLexer , DebugParser"
2452,"try,",try :
2453,"call the function get_language, substitute the result for lang.",lang = get_language ( )
2454,substitute key for result.key.,result . key = key
2455,self.translate is boolean False.,self . translate = False
2456,"call to the self.handle_uncaught_exception method with request, resolver and value of the evaluated function sys.exec_info,","response = self . handle_uncaught_exception ( request , resolver , sys . exc_info ( ) )"
2457,"substitute the result for result. call the function _long_to_bin with 2 arguments: result and hex_format_string, return the result.","return _long_to_bin ( result , hex_format_string )"
2458,define the method configure with an argument self.,def configure ( self ) :
2459,"decorator stringfilter,",@ stringfilter
2460,"raise an ImproperlyConfigured with an argument string ""Calling modelform_factory without defining 'fields' or 'exclude' explicitly is prohibited.""","raise ImproperlyConfigured ( ""Calling modelform_factory without defining 'fields' or "" ""'exclude' explicitly is prohibited."" )"
2461,call the method wm.add_watch with path and mask as arguments.,"wm . add_watch ( path , mask )"
2462,"serialize data to JSON format with cls set to encoder, substitute it for data.","data = json . dumps ( data , cls = encoder )"
2463,do nothing.,pass
2464,substitute SplitDateTimeWidget for widget.,widget = SplitDateTimeWidget
2465,"if arg starts with options,",if arg . startswith ( option ) :
2466,substitute qs for self._queryset.,self . _queryset = qs
2467,"call the method router.db_for_write with argument self.cache_model_class, substitute the result for db.",db = router . db_for_write ( self . cache_model_class )
2468,substitute settings.CACHE_MIDDLEWARE_SECONDS for cache_timeout.,cache_timeout = settings . CACHE_MIDDLEWARE_SECONDS
2469,"call the ops.quote_name method with argument self._table on the object under the db key of connections dictionary, substitute the result for table.",table = connections [ db ] . ops . quote_name ( self . _table )
2470,return nothing.,return
2471,can_import_settings is boolean True.,can_import_settings = True
2472,"if timezone has an attribute 'localize',","if hasattr ( timezone , 'localize' ) :"
2473,raise an ValidationError with 2 arguments: value under the 'contradiction' key of the self.error_messages dictionary and code set to 'contradiction'.,"raise ValidationError ( self . error_messages [ 'contradiction' ] , code = 'contradiction' )"
2474,define the method __init__ with 2 arguments: self and dict_ set to None.,"def __init__ ( self , dict_ = None ) :"
2475,"define the method _proxy_method with 3 arguments self, unpacked list args and unpacked dictionary kwargs.","def _proxy_method ( self , * args , ** kwargs ) :"
